timestamp,sleepStage
1582442160,N3
1582442190,N3
1582442220,N3
1582442250,N3
1582442280,N3
1582442310,N3
1582442340,N3
1582442370,N3
1582442400,N3
1582442430,N3
1582442460,N3
1582442490,N3
1582442520,N3
1582442550,N3
1582442580,N3
1582442610,N3
1582442640,N3
1582442670,N3
1582442700,N3
1582442730,N3
1582442760,N3
1582442790,N3
1582442820,N3
1582442850,N3
1582442880,N3
1582442910,N3
1582442940,N3
1582442970,N3
1582443000,N3
1582443030,N2
1582443060,N2
1582443090,N2
1582443120,N2
1582443150,REM
1582443180,REM
1582443210,REM
1582443240,REM
1582443270,REM
1582443300,REM
1582443330,REM
1582443360,REM
1582443390,REM
1582443420,REM
1582443450,REM
1582443480,REM
1582443510,REM
1582443540,REM
1582443570,REM
1582443600,REM
1582443630,REM
1582443660,REM
1582443690,REM
1582443720,REM
1582443750,REM
1582443780,REM
1582443810,REM
1582443840,REM
1582443870,REM
1582443900,REM
1582443930,REM
1582443960,REM
1582443990,REM
1582444020,REM
1582444050,REM
1582444080,REM
1582444110,REM
1582444140,REM
1582444170,REM
1582444200,REM
1582444230,REM
1582444260,REM
1582444290,REM
1582444320,REM
1582444350,REM
1582444380,REM
1582444410,REM
1582444440,REM
1582444470,REM
1582444500,REM
1582444530,REM
1582444560,REM
1582444590,REM
1582444620,REM
1582444650,REM
1582444680,REM
1582444710,REM
1582444740,REM
1582444770,REM
1582444800,REM
1582444830,REM
1582444860,REM
1582444890,REM
1582444920,REM
1582444950,REM
1582444980,REM
1582445010,REM
1582445040,REM
1582445070,REM
1582445100,REM
1582445130,REM
1582445160,REM
1582445190,REM
1582445220,REM
1582445250,REM
1582445280,REM
1582445310,REM
1582445340,REM
1582445370,REM
1582445400,REM
1582445430,REM
1582445460,REM
1582445490,REM
1582445520,REM
1582445550,REM
1582445580,REM
1582445610,REM
1582445640,REM
1582445670,REM
1582445700,REM
1582445730,REM
1582445760,REM
1582445790,N2
1582445820,N2
1582445850,N2
1582445880,N2
1582445910,N2
1582445940,N2
1582445970,N2
1582446000,N2
1582446030,N2
1582446060,N2
1582446090,N2
1582446120,N2
1582446150,N2
1582446180,N2
1582446210,N2
1582446240,N2
1582446270,N2
1582446300,N2
1582446330,N2
1582446360,N2
1582446390,N2
1582446420,N2
1582446450,N2
1582446480,N2
1582446510,N2
1582446540,N2
1582446570,N2
1582446600,N2
1582446630,N2
1582446660,N2
1582446690,N2
1582446720,N2
1582446750,N2
1582446780,N2
1582446810,N2
1582446840,N2
1582446870,N2
1582446900,N2
1582446930,N2
1582446960,N1
1582446990,N1
1582447020,N1
1582447050,N1
1582447080,N1
1582447110,N1
1582447140,N1
1582447170,N1
1582447200,N1
1582447230,N1
1582447260,N1
1582447290,N2
1582447320,N2
1582447350,N2
1582447380,N2
1582447410,N2
1582447440,N2
1582447470,N2
1582447500,N2
1582447530,N2
1582447560,N2
1582447590,N2
1582447620,N2
1582447650,N2
1582447680,N2
1582447710,N2
1582447740,N2
1582447770,N2
1582447800,N2
1582447830,N2
1582447860,N2
1582447890,N2
1582447920,N2
1582447950,N2
1582447980,N2
